provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,break_even_penalty
DPD,31303,2491,417,112.90680951768702,10.77,0.8458450421517463,5.973621103117506,22.062442563393674,1.5
DPD,31311,1650,336,139.34872865781722,17.19,0.9,4.910714285714286,11.84079694082977,3.0
DPD,31319,2115,368,101.18549289373648,7.08,0.8524822695035461,5.747282608695652,20.902205835189655,2.0
DPD,31515,3812,488,125.18180774883541,38.45,0.8189926547743966,7.811475409836065,30.45170914649508,2.0
DPD,31535,3582,720,357.6158854957556,38.17,0.8877721943048577,4.975,10.01633357263855,2.0
DPD,31832,2309,456,159.38246951696127,30.86,0.8237332178432222,5.06359649122807,14.487164159257047,2.0
FedEx,30159,9864,273,10.98727508223965,11.75,0.13118410381184104,36.13186813186813,897.7658178363655,0.4
FedEx,30161,3810,80,1.7979843382791898,9.67,0.12808398950131233,47.625,2119.0395927733525,0.6
FedEx,30163,6210,263,19.436906373559538,7.51,0.1278582930756844,23.61216730038023,319.4952880180358,0.6
FedEx,30167,3775,132,5.368928981069905,8.96,0.12291390728476821,28.598484848484848,703.1197494528469,0.75
FedEx,30419,1709,136,23.77191867081394,5.53,0.1088355763604447,12.566176470588236,71.89154664651579,2.0
FedEx,30449,3703,204,12.46107802650201,12.7,0.13151498784769106,18.151960784313726,297.16530079697134,0.5
FedEx,30453,1516,106,9.157258958740023,10.07,0.12862796833773088,14.30188679245283,165.55172315543987,2.0
FedEx,30455,612,85,6.967819653017212,11.34,0.13398692810457516,7.2,87.8323536595829,5.0
FedEx,30457,778,82,6.068989648841514,14.63,0.11953727506426735,9.487804878048781,128.19267209468867,3.0
FedEx,30519,2372,154,13.714884737746763,15.57,0.12436762225969646,15.402597402597403,172.95077905187696,1.5
FedEx,30539,2429,81,19.21423828970633,18.41,0.11527377521613832,29.987654320987655,126.41666889815203,1.0
FedEx,30559,3144,165,34.15472344529856,15.2,0.11577608142493638,19.054545454545455,92.05168957187898,1.0
FedEx,30625,2229,134,12.254281076148747,12.66,0.13593539703903096,16.634328358208954,181.8956155933487,1.5
FedEx,30655,2242,144,15.85072399205562,11.41,0.12176628010704728,15.569444444444445,141.44464323040953,1.5
FedEx,30657,3429,82,12.670949194485747,8.22,0.126275882181394,41.81707317073171,270.61903156333875,0.3
FedEx,30823,878,113,12.528872220645557,8.07,0.11161731207289294,7.769911504424779,70.07813508970088,3.0
FedEx,30827,2757,137,67.00018830712914,7.42,0.12187159956474429,20.124087591240876,41.14913807946182,1.0
FedEx,30853,3029,152,12.833286131520445,4.82,0.13568834598877516,19.92763157894737,236.02684214764983,1.0
FedEx,30855,9970,210,59.06346106841505,1.5,0.11825476429287864,47.476190476190474,168.80148605669143,0.4
FedEx,30880,3498,184,33.960996603727956,22.05,0.1346483704974271,19.01086956521739,103.00051087476092,0.5
FedEx,30890,1281,167,102.53407734275534,20.22,0.12646370023419204,7.6706586826347305,12.493407393893232,3.0
FedEx,30900,1597,207,173.55971997363926,10.92,0.10958046336881654,7.714975845410628,9.201443746524578,3.0
FedEx,30916,3245,204,59.876286869182046,11.65,0.1226502311248074,15.906862745098039,54.195077378289824,1.0
FedEx,30926,1266,152,53.8021301528445,10.98,0.10347551342812006,8.328947368421053,23.5306668416932,3.0
FedEx,30938,3131,151,153.22446344831192,16.47,0.1226445225167678,20.735099337748345,20.434073838713086,1.0
FedEx,30952,979,132,37.755537878390655,17.01,0.12155260469867211,7.416666666666667,25.929970939715567,2.0
