penalty,share_willing,provider,hub,day,fleet_before,fleet_after
0.0,0.1,UPS,UPS Depot Hannover,3,113.0,108.0
0.0,0.1,UPS,UPS Depot Hannover,4,91.0,95.0
0.0,0.1,UPS,UPS Depot Hannover,5,77.0,95.0
0.0,0.2,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),0,22.0,22.0
0.0,0.2,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),1,29.0,29.0
0.0,0.2,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),2,25.0,25.0
0.0,0.2,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),3,23.0,23.0
0.0,0.2,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),4,29.0,29.0
0.0,0.2,DHL,Brief- und Logistikzentrum in Pattensen (Hannover),5,18.0,18.0
0.0,0.2,DHL,"Deutsche Post, Bantorf",0,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Bantorf",1,11.0,11.0
0.0,0.2,DHL,"Deutsche Post, Bantorf",2,13.0,13.0
0.0,0.2,DHL,"Deutsche Post, Bantorf",3,12.0,12.0
0.0,0.2,DHL,"Deutsche Post, Bantorf",4,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Bantorf",5,8.0,8.0
0.0,0.2,DHL,"Deutsche Post, Bissendorf",0,44.0,44.0
0.0,0.2,DHL,"Deutsche Post, Bissendorf",1,46.0,46.0
0.0,0.2,DHL,"Deutsche Post, Bissendorf",2,54.0,54.0
0.0,0.2,DHL,"Deutsche Post, Bissendorf",3,49.0,49.0
0.0,0.2,DHL,"Deutsche Post, Bissendorf",4,41.0,41.0
0.0,0.2,DHL,"Deutsche Post, Bissendorf",5,32.0,32.0
0.0,0.2,DHL,"Deutsche Post, Burgdorf",0,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Burgdorf",1,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Burgdorf",2,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Burgdorf",3,12.0,12.0
0.0,0.2,DHL,"Deutsche Post, Burgdorf",4,9.0,9.0
0.0,0.2,DHL,"Deutsche Post, Burgdorf",5,6.0,6.0
0.0,0.2,DHL,"Deutsche Post, Garbsen",0,12.0,12.0
0.0,0.2,DHL,"Deutsche Post, Garbsen",1,12.0,12.0
0.0,0.2,DHL,"Deutsche Post, Garbsen",2,15.0,15.0
0.0,0.2,DHL,"Deutsche Post, Garbsen",3,15.0,15.0
