penalty,share_willing,provider,system_smooth_swaps,system_smoothed_cost_eur,cost_pre_smoothing,provider_spread_before,provider_spread_after
0.5,1.0,Hermes,0,181558.95532498692,181558.95532498692,2.0,2.0
0.5,1.0,UPS,0,162843.34564938728,162843.34564938728,4.0,4.0
0.75,0.0,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.75,0.0,Amazon,0,350810.6383067652,350810.6383067652,79.0,79.0
0.75,0.0,DPD,0,210178.8252010488,210178.8252010488,46.0,46.0
0.75,0.0,FedEx,0,167748.72604045804,167748.72604045804,31.0,31.0
0.75,0.0,GLS,0,186914.04044994732,186914.04044994732,30.0,30.0
0.75,0.0,Hermes,0,232267.79568581068,232267.79568581068,44.0,44.0
0.75,0.0,UPS,0,198052.502895174,198052.502895174,40.0,40.0
0.75,0.1,DHL,4,557636.9551335634,556427.3726875919,161.0,157.0
0.75,0.1,Amazon,0,330976.7893571787,330976.7893571787,76.0,76.0
0.75,0.1,DPD,0,184255.96677835903,184255.96677835903,23.0,23.0
0.75,0.1,FedEx,0,147116.23253612826,147116.23253612826,8.0,8.0
0.75,0.1,GLS,0,162270.3630164384,162270.3630164384,22.0,22.0
0.75,0.1,Hermes,0,207906.38577958717,207906.38577958717,42.0,42.0
0.75,0.1,UPS,0,176196.02820084215,176196.02820084215,15.0,15.0
0.75,0.2,DHL,3,561725.374510067,560781.532992808,161.0,158.0
0.75,0.2,Amazon,0,335750.38913850643,335750.38913850643,61.0,61.0
0.75,0.2,DPD,0,183520.9911075087,183520.9911075087,19.0,19.0
0.75,0.2,FedEx,0,148948.95632058417,148948.95632058417,3.0,3.0
0.75,0.2,GLS,0,163387.7795060131,163387.7795060131,15.0,15.0
0.75,0.2,Hermes,0,211667.5296272552,211667.5296272552,23.0,23.0
0.75,0.2,UPS,0,176481.1249667649,176481.1249667649,7.0,7.0
0.75,0.3,DHL,1,562883.7346197091,562315.1734354399,167.0,165.0
0.75,0.3,Amazon,0,338922.92885752924,338922.92885752924,43.0,43.0
0.75,0.3,DPD,0,182359.9983424577,182359.9983424577,13.0,13.0
0.75,0.3,FedEx,0,149119.3128032487,149119.3128032487,2.0,2.0
0.75,0.3,GLS,0,162132.17625351073,162132.17625351073,12.0,12.0
0.75,0.3,Hermes,0,209289.3501012947,209289.3501012947,21.0,21.0
0.75,0.3,UPS,0,175323.09886571945,175323.09886571945,18.0,18.0
0.75,0.4,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.75,0.4,Amazon,0,338133.83751363505,338133.83751363505,38.0,38.0
0.75,0.4,DPD,0,179313.8297394042,179313.8297394042,10.0,10.0
0.75,0.4,FedEx,0,149657.92610148407,149657.92610148407,2.0,2.0
0.75,0.4,GLS,0,161816.345209465,161816.345209465,12.0,12.0
0.75,0.4,Hermes,1,209435.14289019897,208927.55816024457,7.0,6.0
0.75,0.4,UPS,0,175564.40357319123,175564.40357319123,14.0,14.0
0.75,0.5,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.75,0.5,Amazon,0,338987.98897513805,338987.98897513805,29.0,29.0
0.75,0.5,DPD,0,180234.03787671213,180234.03787671213,6.0,6.0
0.75,0.5,FedEx,0,147114.88316948988,147114.88316948988,3.0,3.0
0.75,0.5,GLS,0,158256.15668432103,158256.15668432103,6.0,6.0
0.75,0.5,Hermes,0,205119.6253356101,205119.6253356101,10.0,10.0
0.75,0.5,UPS,0,176733.02848146268,176733.02848146268,12.0,12.0
0.75,0.6,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.75,0.6,Amazon,0,336516.64024681936,336516.64024681936,25.0,25.0
0.75,0.6,DPD,0,179874.888899943,179874.888899943,2.0,2.0
0.75,0.6,FedEx,0,145610.5285373927,145610.5285373927,1.0,1.0
0.75,0.6,GLS,0,159168.12818341993,159168.12818341993,1.0,1.0
0.75,0.6,Hermes,0,204133.58868046565,204133.58868046565,6.0,6.0
0.75,0.6,UPS,0,173356.95423070178,173356.95423070178,8.0,8.0
0.75,0.7,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.75,0.7,Amazon,0,338659.9156689251,338659.9156689251,19.0,19.0
0.75,0.7,DPD,0,178885.81200524402,178885.81200524402,5.0,5.0
0.75,0.7,FedEx,0,143413.5816254384,143413.5816254384,5.0,5.0
0.75,0.7,GLS,0,155219.03257451174,155219.03257451174,2.0,2.0
0.75,0.7,Hermes,0,203359.87763762329,203359.87763762329,3.0,3.0
0.75,0.7,UPS,0,175179.13825624934,175179.13825624934,12.0,12.0
0.75,0.8,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.75,0.8,Amazon,0,341480.93502567755,341480.93502567755,42.0,42.0
0.75,0.8,DPD,0,173438.83442329027,173438.83442329027,2.0,2.0
0.75,0.8,FedEx,0,144213.97032711763,144213.97032711763,10.0,10.0
0.75,0.8,GLS,0,155720.8430463929,155720.8430463929,6.0,6.0
0.75,0.8,Hermes,0,200360.9056083349,200360.9056083349,8.0,8.0
0.75,0.8,UPS,0,175171.72686484072,175171.72686484072,12.0,12.0
0.75,0.9,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.75,0.9,Amazon,0,348375.39200968546,348375.39200968546,57.0,57.0
0.75,0.9,DPD,0,171242.99430081883,171242.99430081883,2.0,2.0
0.75,0.9,FedEx,0,143665.9194319799,143665.9194319799,1.0,1.0
0.75,0.9,GLS,0,153439.56421515922,153439.56421515922,1.0,1.0
0.75,0.9,Hermes,0,197279.61500823236,197279.61500823236,14.0,14.0
